OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
3277,2018,TOYT,,,BLK,,Sunday,N,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,9/5/2021 5:00:00 AM,9/5/2021 5:00:00 AM,2021,"GOSSAMER ST, PRAIRIE ST",East,5050125.06,Night,Catherine Kitts,500,400,381557.2155,5032428.695
3278,2019,LEXS,NXT,CARRY,WHI,,Thursday,Y,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,5/22/2020 5:00:00 AM,5/21/2020 5:00:00 AM,2020,"CHABLIS PK S, VINEYARD DR S",East,5050124.03,Evening,Laura Dudas,800,2200,378680.9223,5037271.5923
3279,2015,HOND,FIT,4DR,WHI,,Saturday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,4/4/2021 5:00:00 AM,4/3/2021 5:00:00 AM,2021,"BRONSON AVE, FOURTH AVE",Central,5050019.00,Evening,Shawn Menard,1300,1900,367584.9474,5029009.1921
3280,2014,HYUN,ELN,4DR,GRY,,Thursday,Y,Rockcliffe - Manor Park,Ward 13 - Rideau-Rockcliffe,Sector 25,5/22/2020 5:00:00 AM,5/21/2020 5:00:00 AM,2020,"GEORGETON PRIV, MART CIRC",Central,5050059.00,Evening,Rawlson King,1100,2000,371164.9004,5035104.6008
3281,2007,MAZD,M3I,4DR,GRY,,Sunday,Y,Braemar Park - Bel Air Heights - Copeland Park,Ward 8 - College,Sector 17,9/5/2021 5:00:00 AM,9/5/2021 5:00:00 AM,2021,"FERGUSON ST, GAGE CRES",West,5050023.01,Morning,Laine Johnson,1100,1100,363408.0576,5024393.5681
3282,2008,TOYT,SIE,VAN,BRN,,Monday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,4/5/2021 5:00:00 AM,4/5/2021 5:00:00 AM,2021,"ARUM TERR, JEROME JODOIN DR, MONARDIA WAY",East,5050171.09,Morning,Catherine Kitts,600,600,383808.0702,5033771.5786
3283,2018,LEXS,RX3,CARRY,BLK,55000,Thursday,Y,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,5/22/2020 5:00:00 AM,5/21/2020 5:00:00 AM,2020,"LORRY GREENBERG DR, PIKE ST",East,5050001.06,Evening,Jessica Bradley,900,2200,373114.9453,5025399.3923
3284,2019,TOYT,HIG,CARRY,WHI,,Monday,N,Orléans Chatelaine Village,Ward 1 - Orléans East-Cumberland,Sector 31,9/6/2021 5:00:00 AM,9/6/2021 5:00:00 AM,2021,"BALSAM DR, JEANNE D'ARC BLVD",East,5050170.01,Morning,Matthew Luloff,700,700,381488.9298,5038764.5909
3285,,PONT,,4DR,LBL,,Monday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 10 - Gloucester-Southgate,Sector 34,4/5/2021 5:00:00 AM,4/5/2021 5:00:00 AM,2021,"ALBION RD, WALKLEY RD, COLLISTON CRES E",East,5050001.01,Evening,Jessica Bradley,200,1900,371033.9183,5026353.5274
3286,2017,LEXS,NXT,4DR,WHI,40000,Thursday,N,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,5/22/2020 5:00:00 AM,5/21/2020 5:00:00 AM,2020,"CHABLIS PK, VINEYARD DR N",East,5050124.03,Evening,Laura Dudas,1500,2000,378698.9223,5037350.5931
