OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
95,15443,10/16/2018 5:00:00 AM,1800,2018,10/16/2018 5:00:00 AM,1800,2018,Evening,Tuesday,2,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,,371636.104300002,5023302.60429946
96,10125,5/14/2021 5:00:00 AM,0,2021,5/14/2021 5:00:00 AM,0,2021,Night,Friday,5,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,MAJOR,371620.731000004,5023532.50989946
97,10515,7/14/2021 5:00:00 AM,200,2021,7/14/2021 5:00:00 AM,2000,2021,Evening,Wednesday,3,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,NONE,371536.731000003,5023407.50899946
98,15443,5/11/2022 5:00:00 AM,200,2022,5/11/2022 5:00:00 AM,2300,2022,Evening,Wednesday,3,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,,371636.104300002,5023302.60429946
99,9148,3/2/2018 5:00:00 AM,200,2018,3/2/2018 5:00:00 AM,2200,2018,Evening,Friday,5,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,,371646.732100004,5023351.50899946
100,15874,6/10/2019 5:00:00 AM,1800,2019,6/10/2019 5:00:00 AM,1800,2019,Evening,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,,371453.729900004,5023632.51099946
101,7037,9/26/2021 5:00:00 AM,400,2021,9/26/2021 5:00:00 AM,400,2021,Night,Sunday,7,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,NONE,372232.734000004,5023437.50899946
102,9249,2/27/2023 5:00:00 AM,200,2023,2/27/2023 5:00:00 AM,1900,2023,Evening,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,MAJOR,371343.692900004,5023582.96899946
103,7037,9/27/2021 5:00:00 AM,500,2021,9/27/2021 5:00:00 AM,500,2021,Night,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,NONE,372232.734000004,5023437.50899946
104,10431,5/1/2022 5:00:00 AM,1600,2022,5/1/2022 5:00:00 AM,1600,2022,Afternoon,Sunday,7,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.03,,375022.721100005,5035730.59999946
105,4683,2/23/2022 5:00:00 AM,200,2022,2/23/2022 5:00:00 AM,2200,2022,Evening,Wednesday,3,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,375869.771000005,5034694.83809946
106,7483,2/24/2022 5:00:00 AM,1000,2022,2/23/2022 5:00:00 AM,2200,2022,Evening,Wednesday,3,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,375617.724100005,5035425.59509946
107,2306,8/3/2021 5:00:00 AM,800,2021,8/3/2021 5:00:00 AM,800,2021,Morning,Tuesday,2,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,376519.727900006,5035506.59209946
108,4683,10/1/2021 5:00:00 AM,500,2021,10/1/2021 5:00:00 AM,500,2021,Night,Friday,5,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,375869.771000005,5034694.83809946
109,10408,1/21/2019 5:00:00 AM,200,2019,1/21/2019 5:00:00 AM,2000,2019,Evening,Monday,1,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,NONE,375078.734000006,5031346.56189946
110,7768,6/23/2022 5:00:00 AM,200,2022,6/23/2022 5:00:00 AM,2300,2022,Evening,Thursday,4,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,,375379.735100005,5031470.56299946
111,5245,5/30/2021 5:00:00 AM,0,2021,5/30/2021 5:00:00 AM,0,2021,Night,Sunday,7,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,FATAL,374645.380700005,5031325.75179946
112,2428,12/22/2021 5:00:00 AM,1900,2021,12/22/2021 5:00:00 AM,1900,2021,Evening,Wednesday,3,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,MAJOR,380526.747900006,5034753.56899946
113,11431,3/16/2019 5:00:00 AM,1200,2019,3/16/2019 5:00:00 AM,1200,2019,Afternoon,Saturday,6,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,,380775.747900008,5035166.57009946
114,3138,6/12/2021 5:00:00 AM,1900,2021,6/12/2021 5:00:00 AM,1600,2021,Afternoon,Saturday,6,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,MAJOR,380383.747900008,5034666.56899946
115,10577,3/6/2018 5:00:00 AM,600,2018,3/6/2018 5:00:00 AM,300,2018,Night,Tuesday,2,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,,355949.749000001,5015816.02409946
116,12218,9/7/2021 5:00:00 AM,1400,2021,9/7/2021 5:00:00 AM,1400,2021,Afternoon,Tuesday,2,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,,354754.627099999,5016013.43809946
117,12218,9/6/2021 5:00:00 AM,200,2021,9/6/2021 5:00:00 AM,2200,2021,Evening,Monday,1,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,MAJOR,354754.627099999,5016013.43809946
118,10268,7/3/2018 5:00:00 AM,200,2018,7/3/2018 5:00:00 AM,2200,2018,Evening,Tuesday,2,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,,372195.573100005,5024135.32799946
119,10268,8/4/2023 5:00:00 AM,200,2023,8/4/2023 5:00:00 AM,2100,2023,Evening,Friday,5,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,,372195.573100005,5024135.32799946
120,4321,11/22/2021 5:00:00 AM,800,2021,11/21/2021 5:00:00 AM,2200,2021,Evening,Sunday,7,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,,372733.004900004,5024218.70489946
121,10268,9/22/2023 5:00:00 AM,200,2023,9/22/2023 5:00:00 AM,2200,2023,Evening,Friday,5,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,,372195.573100005,5024135.32799946
122,6456,9/5/2022 5:00:00 AM,200,2022,9/5/2022 5:00:00 AM,2300,2022,Evening,Monday,1,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,MINOR,373336.740000005,5023445.50899946
123,4576,2/25/2021 5:00:00 AM,200,2021,2/25/2021 5:00:00 AM,2000,2021,Evening,Thursday,4,Briar Green - Leslie Park,15,West,Ward 8 - College,Laine Johnson,5050137.04,NONE,361122.517000001,5022352.16899946
124,6345,5/14/2021 5:00:00 AM,1900,2021,5/14/2021 5:00:00 AM,1900,2021,Evening,Friday,5,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,,368167.712900003,5026222.53209946
125,13848,8/12/2022 5:00:00 AM,500,2022,8/12/2022 5:00:00 AM,500,2022,Night,Friday,5,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,,368905.717000003,5025668.52709946
126,4310,1/15/2019 5:00:00 AM,200,2019,1/3/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,NONE,368601.715100003,5025810.52789946
127,6345,3/23/2021 5:00:00 AM,1100,2021,9/17/2020 5:00:00 AM,300,2020,Night,Thursday,4,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,NONE,368167.712900003,5026222.53209946
